Combination,Sigma,Alpha,Lambda,Window,Failures,FPS,Overlap
"(2, 0.1, 0.6, 1)",2.0,0.1,0.6,1.0,56.0,1399.0,0.474
"(2, 0.1, 0.6, 1.1)",2.0,0.1,0.6,1.1,51.0,1245.0,0.466
"(2, 0.1, 0.7, 1)",2.0,0.1,0.7,1.0,53.0,1371.0,0.472
"(2, 0.1, 0.7, 1.1)",2.0,0.1,0.7,1.1,52.0,1212.0,0.462
"(2, 0.125, 0.6, 1)",2.0,0.125,0.6,1.0,58.0,1490.0,0.469
"(2, 0.125, 0.6, 1.1)",2.0,0.125,0.6,1.1,53.0,1249.0,0.468
"(2, 0.125, 0.7, 1)",2.0,0.125,0.7,1.0,57.0,1440.0,0.469
"(2, 0.125, 0.7, 1.1)",2.0,0.125,0.7,1.1,55.0,1242.0,0.468
"(2, 0.2, 0.6, 1)",2.0,0.2,0.6,1.0,58.0,1407.0,0.458
"(2, 0.2, 0.6, 1.1)",2.0,0.2,0.6,1.1,54.0,1243.0,0.475
"(2, 0.2, 0.7, 1)",2.0,0.2,0.7,1.0,57.0,1516.0,0.453
"(2, 0.2, 0.7, 1.1)",2.0,0.2,0.7,1.1,56.0,1351.0,0.482
"(10, 0.1, 0.6, 1)",10.0,0.1,0.6,1.0,49.0,1477.0,0.485
"(10, 0.1, 0.6, 1.1)",10.0,0.1,0.6,1.1,52.0,1301.0,0.499
"(10, 0.1, 0.7, 1)",10.0,0.1,0.7,1.0,49.0,1443.0,0.483
"(10, 0.1, 0.7, 1.1)",10.0,0.1,0.7,1.1,50.0,1296.0,0.497
"(10, 0.125, 0.6, 1)",10.0,0.125,0.6,1.0,51.0,1430.0,0.481
"(10, 0.125, 0.6, 1.1)",10.0,0.125,0.6,1.1,44.0,1338.0,0.498
"(10, 0.125, 0.7, 1)",10.0,0.125,0.7,1.0,49.0,1467.0,0.488
"(10, 0.125, 0.7, 1.1)",10.0,0.125,0.7,1.1,45.0,1353.0,0.5
"(10, 0.2, 0.6, 1)",10.0,0.2,0.6,1.0,56.0,1537.0,0.495
"(10, 0.2, 0.6, 1.1)",10.0,0.2,0.6,1.1,49.0,1333.0,0.497
"(10, 0.2, 0.7, 1)",10.0,0.2,0.7,1.0,55.0,1337.0,0.491
"(10, 0.2, 0.7, 1.1)",10.0,0.2,0.7,1.1,51.0,1285.0,0.499
