Combination           ,Alpha ,Bins ,sigma ,Quocient ,Failures ,FPS  ,Overlap
"[0.05, 16, 25, 1]"   ,0.05  ,16.0 , 25.0 ,     1.0 ,    36.0 ,88.0 ,  0.51
"[0.05, 16, 25, 2]"   ,0.05  ,16.0 , 25.0 ,     2.0 ,    33.0 ,88.0 ,  0.513
"[0.05, 16, 25, 3]"   ,0.05  ,16.0 , 25.0 ,     3.0 ,    31.0 ,88.0 ,  0.506
"[0.05, 16, 25, 4]"   ,0.05  ,16.0 , 25.0 ,     4.0 ,    33.0 ,88.0 ,  0.507
"[0.05, 16, 25, 5]"   ,0.05  ,16.0 , 25.0 ,     5.0 ,    33.0 ,88.0 ,  0.506
"[0.05, 16, 50, 1]"   ,0.05  ,16.0 , 50.0 ,     1.0 ,    35.0 ,87.0 ,  0.511
"[0.05, 16, 50, 2]"   ,0.05  ,16.0 , 50.0 ,     2.0 ,    36.0 ,88.0 ,  0.507
"[0.05, 16, 50, 3]"   ,0.05  ,16.0 , 50.0 ,     3.0 ,    35.0 ,89.0 ,  0.504
"[0.05, 16, 50, 4]"   ,0.05  ,16.0 , 50.0 ,     4.0 ,    30.0 ,90.0 ,  0.491
"[0.05, 16, 50, 5]"   ,0.05  ,16.0 , 50.0 ,     5.0 ,    37.0 ,90.0 ,  0.492
"[0.05, 16, 100, 1]"  ,0.05  ,16.0 ,100.0 ,     1.0 ,    33.0 ,90.0 ,  0.491
"[0.05, 16, 100, 2]"  ,0.05  ,16.0 ,100.0 ,     2.0 ,    34.0 ,90.0 ,  0.489
"[0.05, 16, 100, 3]"  ,0.05  ,16.0 ,100.0 ,     3.0 ,    37.0 ,88.0 ,  0.486
"[0.05, 16, 100, 4]"  ,0.05  ,16.0 ,100.0 ,     4.0 ,    36.0 ,89.0 ,  0.487
"[0.05, 16, 100, 5]"  ,0.05  ,16.0 ,100.0 ,     5.0 ,    33.0 ,90.0 ,  0.486
"[0.075, 16, 25, 1]"  ,0.075 ,16.0 , 25.0 ,     1.0 ,    40.0 ,88.0 ,  0.51
"[0.075, 16, 25, 2]"  ,0.075 ,16.0 , 25.0 ,     2.0 ,    38.0 ,88.0 ,  0.507
"[0.075, 16, 25, 3]"  ,0.075 ,16.0 , 25.0 ,     3.0 ,    33.0 ,89.0 ,  0.51
"[0.075, 16, 25, 4]"  ,0.075 ,16.0 , 25.0 ,     4.0 ,    36.0 ,89.0 ,  0.508
"[0.075, 16, 25, 5]"  ,0.075 ,16.0 , 25.0 ,     5.0 ,    34.0 ,89.0 ,  0.497
"[0.075, 16, 50, 1]"  ,0.075 ,16.0 , 50.0 ,     1.0 ,    36.0 ,89.0 ,  0.504
"[0.075, 16, 50, 2]"  ,0.075 ,16.0 , 50.0 ,     2.0 ,    35.0 ,89.0 ,  0.501
"[0.075, 16, 50, 3]"  ,0.075 ,16.0 , 50.0 ,     3.0 ,    36.0 ,89.0 ,  0.496
"[0.075, 16, 50, 4]"  ,0.075 ,16.0 , 50.0 ,     4.0 ,    39.0 ,88.0 ,  0.497
"[0.075, 16, 50, 5]"  ,0.075 ,16.0 , 50.0 ,     5.0 ,    33.0 ,89.0 ,  0.484
"[0.075, 16, 100, 1]" ,0.075 ,16.0 ,100.0 ,     1.0 ,    34.0 ,90.0 ,  0.484
